GPCD,Tem,Pre,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,Year,Byear,Month,Q1,Q2,Q3
136.3300887,22.28175,0.24493,0,1,0,0,0,0,0,0,0,0,0,0,2002,2004,2,0,0,0
150.5425135,23.90681,0.05735,0,0,1,0,0,0,0,0,0,0,0,0,2002,2004,3,1,0,0
177.8950585,30.59259,0,0,0,0,1,0,0,0,0,0,0,0,0,2002,2004,4,1,0,0
199.1268052,33.60215,0,0,0,0,0,1,0,0,0,0,0,0,0,2002,2004,5,1,0,0
232.5848554,39.94444,0,0,0,0,0,0,1,0,0,0,0,0,0,2002,2004,6,0,1,0
205.439296,37.29391,2.1549,0,0,0,0,0,0,1,0,0,0,0,0,2002,2004,7,0,1,0
189.3457824,37.04301,1.33555,0,0,0,0,0,0,0,1,0,0,0,0,2002,2004,8,0,1,0
182.8204332,34.92593,1.25307,0,0,0,0,0,0,0,0,1,0,0,0,2002,2004,9,0,0,1
170.0677332,28.04659,0.40968,0,0,0,0,0,0,0,0,0,1,0,0,2002,2004,10,0,0,1
151.9757172,24.2963,0.19473,0,0,0,0,0,0,0,0,0,0,1,0,2002,2004,11,0,0,1
129.4815099,17.22222,0.40148,0,0,0,0,0,0,0,0,0,0,0,1,2002,2004,12,0,0,0
135.0532673,22.99444,0.06555,1,0,0,0,0,0,0,0,0,0,0,0,2003,2004,1,0,0,0
129.7607222,19.06667,0.87086,0,1,0,0,0,0,0,0,0,0,0,0,2003,2004,2,0,0,0
139.2652667,22.85,0.41787,0,0,1,0,0,0,0,0,0,0,0,0,2003,2004,3,1,0,0
164.1388807,26.92778,0.03387,0,0,0,1,0,0,0,0,0,0,0,0,2003,2004,4,1,0,0
194.8904347,34.17778,0.09013,0,0,0,0,1,0,0,0,0,0,0,0,2003,2004,5,1,0,0
220.6278736,38.31667,0,0,0,0,0,0,1,0,0,0,0,0,0,2003,2004,6,0,1,0
214.2858967,39.15556,2.08935,0,0,0,0,0,0,1,0,0,0,0,0,2003,2004,7,0,1,0
187.3709729,36.52222,1.71245,0,0,0,0,0,0,0,1,0,0,0,0,2003,2004,8,0,1,0
178.5032101,35.42778,1.83727,0,0,0,0,0,0,0,0,1,0,0,0,2003,2004,9,0,0,1
161.4648892,31.57778,0.31135,0,0,0,0,0,0,0,0,0,1,0,0,2003,2004,10,0,0,1
141.7880349,21.70556,0.89747,0,0,0,0,0,0,0,0,0,0,1,0,2003,2004,11,0,0,1
125.9653912,19.55,0.13929,0,0,0,0,0,0,0,0,0,0,0,1,2003,2004,12,0,0,0
122.9525096,18.1362,0.74561,1,0,0,0,0,0,0,0,0,0,0,0,2004,2004,1,0,0,0
135.7184368,17.60536,0.51707,0,1,0,0,0,0,0,0,0,0,0,0,2004,2004,2,0,0,0
138.0870852,26.54122,0.93406,0,0,1,0,0,0,0,0,0,0,0,0,2004,2004,3,1,0,0
154.26974,26.24074,0.91525,0,0,0,1,0,0,0,0,0,0,0,0,2004,2004,4,1,0,0
196.3487297,34.03226,0.00819,0,0,0,0,1,0,0,0,0,0,0,0,2004,2004,5,1,0,0
215.8157731,37.87037,0.0254,0,0,0,0,0,1,0,0,0,0,0,0,2004,2004,6,0,1,0
203.4950317,37.74194,0.75626,0,0,0,0,0,0,1,0,0,0,0,0,2004,2004,7,0,1,0
194.1798355,36.14695,0.77101,0,0,0,0,0,0,0,1,0,0,0,0,2004,2004,8,0,1,0
184.0009323,34.18519,0.55033,0,0,0,0,0,0,0,0,1,0,0,0,2004,2004,9,0,0,1
164.6606204,28.11828,0.51619,0,0,0,0,0,0,0,0,0,1,0,0,2004,2004,10,0,0,1
139.3399889,19.85185,0.39793,0,0,0,0,0,0,0,0,0,0,1,0,2004,2004,11,0,0,1
122.9252266,18.36918,0.58174,0,0,0,0,0,0,0,0,0,0,0,1,2004,2004,12,0,0,0
118.9728083,18.8172,1.09794,1,0,0,0,0,0,0,0,0,0,0,0,2005,2005,1,0,0,0
116.6349202,18.27381,0.99786,0,1,0,0,0,0,0,0,0,0,0,0,2005,2005,2,0,0,0
133.6664584,33.45878,0.52439,0,0,1,0,0,0,0,0,0,0,0,0,2005,2005,3,1,0,0
159.96794,37.92593,0.01693,0,0,0,1,0,0,0,0,0,0,0,0,2005,2005,4,1,0,0
183.3374308,40.12545,0.62271,0,0,0,0,1,0,0,0,0,0,0,0,2005,2005,5,1,0,0
208.4917905,34.64158,3.9624,0,0,0,0,0,1,0,0,0,0,0,0,2005,2005,6,0,1,0
212.1355355,35.90741,0.07374,0,0,0,0,0,0,1,0,0,0,0,0,2005,2005,7,0,1,0
163.5124977,29.94624,0.06555,0,0,0,0,0,0,0,1,0,0,0,0,2005,2005,8,0,1,0
181.3933059,25.57407,0,0,0,0,0,0,0,0,0,1,0,0,0,2005,2005,9,0,0,1
163.7341638,21.11111,0.01639,0,0,0,0,0,0,0,0,0,1,0,0,2005,2005,10,0,0,1
149.9095223,20.91398,0,0,0,0,0,0,0,0,0,0,0,1,0,2005,2005,11,0,0,1
134.298673,22.89683,0,0,0,0,0,0,0,0,0,0,0,0,1,2005,2005,12,0,0,0
135.277551,21.66667,0.35232,1,0,0,0,0,0,0,0,0,0,0,0,2006,2006,1,0,0,0
140.9295978,28.2037,0,0,1,0,0,0,0,0,0,0,0,0,0,2006,2006,2,0,0,0
142.136488,34.71326,0.00819,0,0,1,0,0,0,0,0,0,0,0,0,2006,2006,3,1,0,0
161.5092375,38.75926,0.47413,0,0,0,1,0,0,0,0,0,0,0,0,2006,2006,4,1,0,0
194.7447221,37.52688,4.49006,0,0,0,0,1,0,0,0,0,0,0,0,2006,2006,5,1,0,0
206.8121546,34.44444,2.35373,0,0,0,0,0,1,0,0,0,0,0,0,2006,2006,6,0,1,0
181.4915886,32.62963,1.33555,0,0,0,0,0,0,1,0,0,0,0,0,2006,2006,7,0,1,0
166.58305,28.76344,0.24581,0,0,0,0,0,0,0,1,0,0,0,0,2006,2006,8,0,1,0
159.6787201,26.01852,0.00847,0,0,0,0,0,0,0,0,1,0,0,0,2006,2006,9,0,0,1
149.951805,18.24373,0.508,0,0,0,0,0,0,0,0,0,1,0,0,2006,2006,10,0,0,1
145.4479126,15.94444,0.60113,0,0,0,0,0,0,0,0,0,0,1,0,2006,2006,11,0,0,1
131.0937624,21,0.03277,0,0,0,0,0,0,0,0,0,0,0,1,2006,2006,12,0,0,0
122.0325253,25.72222,0.48342,1,0,0,0,0,0,0,0,0,0,0,0,2007,2007,1,0,0,0
126.8379789,28.5,0.14514,0,1,0,0,0,0,0,0,0,0,0,0,2007,2007,2,0,0,0
145.4452238,34.05556,0.11471,0,0,1,0,0,0,0,0,0,0,0,0,2007,2007,3,1,0,0
158.0792435,39.16667,0.08467,0,0,0,1,0,0,0,0,0,0,0,0,2007,2007,4,1,0,0
182.0332514,37.66667,4.27703,0,0,0,0,1,0,0,0,0,0,0,0,2007,2007,5,1,0,0
204.9543608,36.66667,0.762,0,0,0,0,0,1,0,0,0,0,0,0,2007,2007,6,0,1,0
186.1826916,35.16667,0.36871,0,0,0,0,0,0,1,0,0,0,0,0,2007,2007,7,0,1,0
165.5879838,30.77778,0.01639,0,0,0,0,0,0,0,1,0,0,0,0,2007,2007,8,0,1,0
169.2391919,26.57222,0.69427,0,0,0,0,0,0,0,0,1,0,0,0,2007,2007,9,0,0,1
160.7584089,16.43333,0.63172,0,0,0,0,0,0,0,0,0,1,0,0,2007,2007,10,0,0,1
147.3957534,17.55556,0.14393,0,0,0,0,0,0,0,0,0,0,1,0,2007,2007,11,0,0,1
118.7569784,20.72222,0.99961,0,0,0,0,0,0,0,0,0,0,0,1,2007,2007,12,0,0,0
120.3289535,24.44444,0.30316,1,0,0,0,0,0,0,0,0,0,0,0,2008,2008,1,0,0,0
123.5506061,28.88889,0.04536,0,1,0,0,0,0,0,0,0,0,0,0,2008,2008,2,0,0,0
136.4169559,33.55556,0.1483,0,0,1,0,0,0,0,0,0,0,0,0,2008,2008,3,1,0,0
154.1672863,38.88889,0.13547,0,0,0,1,0,0,0,0,0,0,0,0,2008,2008,4,1,0,0
170.7219985,36.05556,2.80219,0,0,0,0,1,0,0,0,0,0,0,0,2008,2008,5,1,0,0
194.6862605,36,1.43933,0,0,0,0,0,1,0,0,0,0,0,0,2008,2008,6,0,1,0
161.9326167,35,0.21303,0,0,0,0,0,0,1,0,0,0,0,0,2008,2008,7,0,1,0
160.732631,31.27778,0.01639,0,0,0,0,0,0,0,1,0,0,0,0,2008,2008,8,0,1,0
158.7312263,25,0.24553,0,0,0,0,0,0,0,0,1,0,0,0,2008,2008,9,0,0,1
155.2889533,19.16667,0.84394,0,0,0,0,0,0,0,0,0,1,0,0,2008,2008,10,0,0,1
137.7769887,20.61111,0.5334,0,0,0,0,0,0,0,0,0,0,1,0,2008,2008,11,0,0,1
116.5527444,22.5,0.45884,0,0,0,0,0,0,0,0,0,0,0,1,2008,2008,12,0,0,0
112.8566626,25.55556,0.14748,1,0,0,0,0,0,0,0,0,0,0,0,2009,2009,1,0,0,0
116.6470711,27.83333,0.26307,0,1,0,0,0,0,0,0,0,0,0,0,2009,2009,2,0,0,0
129.6693208,34.94444,0.56535,0,0,1,0,0,0,0,0,0,0,0,0,2009,2009,3,1,0,0
141.2209592,35.98333,0.03387,0,0,0,1,0,0,0,0,0,0,0,0,2009,2009,4,1,0,0
166.5807827,39.17563,1.45845,0,0,0,0,1,0,0,0,0,0,0,0,2009,2009,5,1,0,0
175.4392476,38.85305,0.2794,0,0,0,0,0,1,0,0,0,0,0,0,2009,2009,6,0,1,0
